Site ID,Attacker IP,Target IP,Date,Iteration,Attack,MITRE ATT&CK,CWE,Port,Service,Type,Status (Ping),Status (Service),Status (Attack),Remark
506040,192.168.0.103,192.168.0.181,2024-11-24 16:44:43.328717,1,SQL Injection,TA0010: Exfiltration,"CWE-89: Improper Neutralization of Special Elements used in an SQL Command (""SQL Injection"")",80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:45:04.030010,1,Cross Site Scripting (XSS),TA0004: Privilege Escalation,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:45:24.611338,1,OS Command Injection,TA0002: Execution,CWE-78: OS Command Injection,80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:45:45.297363,1,CVE-2011-2523: VSFTPD Backdoor Command Execution,TA0002: Execution,CWE-1104: Use of Unmaintained Third Party Components,21,ftp,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:45:50.693185,1,CVE-2010-2075: UnrealIRCd Remote Code Execution,TA0001: Initial Access,CWE-1104: Use of Unmaintained Third Party Components,"{8000, 6667}",irc,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:46:08.381202,1,"CVE-2007-2447: Samba ""username map script"" Command Execution",TA0002: Execution,CWE-1104: Use of Unmaintained Third Party Components,"{8001, 445}",samba,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:46:37.459150,1,SSH Bruteforce,T1110.001: Brute Force (Password Guessing),CWE-307: Improper Restriction of Excessive Authentication Attempts,22,ssh,Server,UP,UP,UNBLOCKED,Valid password found during brute-force attempt
506040,192.168.0.103,192.168.0.181,2024-11-24 16:48:39.197071,1,Network Enumeration (nmap),T1046: Network Service Discovery,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,22,ssh,Network,UP,UP,UNBLOCKED,Nmap successfully enumerated the port
506040,192.168.0.103,192.168.0.181,2024-11-24 16:48:42.145418,1,Network Enumeration (nmap),T1046: Network Service Discovery,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,"{8001, 445}",samba,Network,UP,UP,UNBLOCKED,Nmap successfully enumerated the port
506040,192.168.0.103,192.168.0.181,2024-11-24 16:48:55.864642,1,SYN Flood DDoS,T1498: Network Denial of Service (Direct Network Flood),CWE-400: Uncontrolled Resource Consumption,80,http,Network,UP,UP,UNBLOCKED,Service is DOWN due to DoS attack
506040,192.168.0.103,192.168.0.181,2024-11-24 16:49:47.982803,1,HTTP Slowloris DoS,T1498: Network Denial of Service (Direct Network Flood),CWE-400: Uncontrolled Resource Consumption,80,http,Network,UP,UP,UNBLOCKED,Service is DOWN due to DoS attack
